raison,adresse_1,adresses_2,catégorie,produit,quantité,prix unitaire,date
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Roue codeuse,43,2.31,2023-04-02
Joubert Plate-forme Électricité Pièces,68 avenue Mahe,42201 Saint Rémy,Composants servant d'interface humaine,LED,28,3.99,2023-04-02
Bouvet Top Électricité Composants,77 avenue Grégoire Maillard,39453 Vidal,Composants servant d'interface humaine,Buzzer,11,33.78,2023-04-02
Marty Confiance Dépanneur Pro,69 avenue de Da Silva,88501 AdamBourg,Composants servant d'interface humaine,Afficheur,33,,2023-04-02
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Microcontrôleur,23,28.06,2023-04-02
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Interrupteur,31,9.21,2023-04-03
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Capteur,Microphone,44,11.89,2023-04-03
Blondel Giga Électricité ++,91 rue Inès Durand,44914 Saint Michelle-sur-Mer,Composants d'électroniques numériques,Mémoire informatique,5,26.23,2023-04-03
Jacquot Giga Électricité Pièces,51 rue de Diaz,54288 Saint Agathe-la-Forêt,Composants d'électroniques numériques,Quartz,31,17.66,2023-04-03
Bonnet Excel Électricité Pièces,77 rue Georges Martins,12531 Bourgeois,Composants servant d'interface humaine,Buzzer,6,32.47,2023-04-03
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Quartz,1,15.99,2023-04-03
Chretien Giga Elec Pro,464 rue de Duval,58242 Saint Noémi,Composants d'électroniques numériques,Quartz,5,18.01,2023-04-03
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Interrupteur,12,9.21,2023-04-03
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Commutateur,28,2.53,2023-04-04
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Composants servant d'interface humaine,Afficheur,13,26.81,2023-04-04
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Haut-parleur,27,13.98,2023-04-04
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Microcontrôleur,4,28.06,2023-04-04
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Roue codeuse,39,2.31,2023-04-04
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Potentiomètre,50,7.66,2023-04-04
Lucas Confiance Elec ++,60 avenue Lebrun,95988 BlancVille,Capteur,Gyroscope,33,10.62,2023-04-04
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Mémoire informatique,11,21.95,2023-04-05
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Quartz,32,15.99,2023-04-05
Renard Confiance Électricité Pro,796 rue Garcia,60999 Andre,Composants servant d'interface humaine,LED,10,3.99,2023-04-05
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Commutateur,12,2.53,2023-04-05
Adam Giga Dépanneur Spécialiste,4 avenue de Joseph,64601 Sainte Marianneboeuf,Composants servant d'interface humaine,Haut-parleur,38,15.14,2023-04-05
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,LED,35,3.54,2023-04-05
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Roue codeuse,47,2.31,2023-04-05
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants d'électroniques numériques,Microprocesseur,36,6.51,2023-04-05
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Quartz,12,15.99,2023-04-05
Guillet Giga Dépanneur ++,40 avenue de Bouvet,29760 Delahayenec,Composants servant d'interface humaine,Interrupteur,26,9.39,2023-04-06
Pruvost-Guerin Confiance Dépanneur Composants,69 chemin Maryse Verdier,40163 Saint Alain,Composants d'électroniques numériques,Microcontrôleur,2,28.62,2023-04-06
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Composants servant d'interface humaine,Roue codeuse,50,2.41,2023-04-06
Blin Top Électricité Spécialiste,69 rue Techer,76691 Voisin-sur-Mer,Composants servant d'interface humaine,Afficheur,3,27.35,2023-04-06
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Résistance,44,21.63,2023-04-06
Daniel Plate-forme Électricité 2000,18 rue Arthur Fouquet,83230 Lacroixnec,Capteur,Capteur optique,32,14.79,2023-04-06
Brunet Top Dépanneur Pro,10 avenue Lucas Bernard,89579 Normand-la-Forêt,Composants d'électroniques analogiques,Inductance,41,12.05,2023-04-06
Jacquot Giga Électricité Pièces,51 rue de Diaz,54288 Saint Agathe-la-Forêt,Composants servant d'interface humaine,Buzzer,39,31.83,2023-04-07
Deschamps Plate-forme Elec Spécialiste,990 chemin Arnaud,09829 Delmas-sur-Ledoux,Composants servant d'interface humaine,Roue codeuse,14,2.51,2023-04-07
Deschamps Plate-forme Elec Spécialiste,990 chemin Arnaud,09829 Delmas-sur-Ledoux,Composants servant d'interface humaine,Interrupteur,12,9.77,2023-04-07
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Capteur,Capteur de température,41,26.41,2023-04-07
Samson Giga Dépanneur Pro,67 rue Aurore Albert,86954 Royer-sur-Dijoux,Composants servant d'interface humaine,LED,42,3.75,2023-04-07
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Microcontrôleur,39,28.06,2023-04-07
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants d'électroniques numériques,Quartz,24,15.99,2023-04-07
Gosselin Top Électricité Spécialiste,887 avenue Stéphanie Devaux,89717 Valléedan,Composants d'électroniques numériques,Opto-coupleur,1,34.41,2023-04-07
Pruvost-Guerin Confiance Dépanneur Composants,69 chemin Maryse Verdier,40163 Saint Alain,Composants d'électroniques numériques,Opto-coupleur,30,34.41,2023-04-08
Roger Appolo Électricité Pro,903 rue de Laporte,87927 Martinez,Composants d'électroniques numériques,Opto-coupleur,48,34.41,2023-04-08
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Capteur,Capteur de luminosité,28,13.92,2023-04-08
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Mémoire informatique,20,21.52,2023-04-08
Mace Appolo Électricité Plus,895 boulevard de Grenier,04254 Sainte Marceldan,Composants servant d'interface humaine,Interrupteur,24,9.39,2023-04-08
Daniel Plate-forme Électricité 2000,18 rue Arthur Fouquet,83230 Lacroixnec,Composants servant d'interface humaine,Interrupteur,47,9.39,2023-04-08
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Composants servant d'interface humaine,Afficheur,39,26.81,2023-04-08
Pineau Appolo Dépanneur Pièces,15 rue de Bonnet,56641 Pages,Composants servant d'interface humaine,LED,2,4.07,2023-04-08
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Commutateur,49,2.53,2023-04-09
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Interrupteur,9,9.21,2023-04-09
Barre-Valentin Excel Elec Pièces,7 avenue Chauvin,34561 Étienne,Capteur,Capteur de champ magnétique,10,15.28,2023-04-09
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Composants d'électroniques numériques,Microcontrôleur,38,28.62,2023-04-09
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Opto-coupleur,50,31.17,2023-04-09
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Gyroscope,19,10.62,2023-04-09
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Mémoire informatique,13,20.69,2023-04-10
Roger Appolo Elec Spécialiste,1 rue de Guyot,20249 Huetboeuf,Composants servant d'interface humaine,Interrupteur,46,9.39,2023-04-10
Gomez Appolo Elec Composants,4 avenue Lorraine Lamy,06801 Barbe-sur-Jacques,Composants servant d'interface humaine,Roue codeuse,17,2.46,2023-04-10
Blondel Giga Électricité ++,832 rue Paul Payet,44914 Saint Michelle-sur-Mer,Composants servant d'interface humaine,Haut-parleur,21,15.14,2023-04-10
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Capteur,Capteur de pression,34,12.1,2023-04-10
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,LED,27,3.54,2023-04-10
Carlier Plate-forme Elec Plus,95 rue Jean Baudry,16428 Bouvet,Composants d'électroniques analogiques,Memristor,4,25.42,2023-04-10
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Microprocesseur,25,6.38,2023-04-10
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Haut-parleur,5,13.98,2023-04-10
Blin Appolo Elec 2000,47 chemin Didier,39292 Barthelemy,Capteur,Capteur optique,12,14.79,2023-04-11
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Composants d'électroniques numériques,Mémoire informatique,43,24.25,2023-04-11
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques numériques,Quartz,19,15.99,2023-04-11
Lucas Confiance Elec ++,60 avenue Lebrun,95988 BlancVille,Composants servant d'interface humaine,Potentiomètre,44,8.13,2023-04-11
Julien Excel Dépanneur Pièces,5 chemin Alexandrie Valette,55253 Saint Corinne-les-Bains,Composants d'électroniques numériques,Mémoire informatique,16,24.73,2023-04-11
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants d'électroniques analogiques,Condensateur,49,33.64,2023-04-11
Gosselin Plate-forme Dépanneur 2000,39 rue Noémi Leroux,85849 Charpentier-les-Bains,Composants servant d'interface humaine,Haut-parleur,8,15.14,2023-04-11
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants d'électroniques analogiques,Memristor,20,24.92,2023-04-11
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Capteur,Thermistance,27,20.86,2023-04-11
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Capteur,Accéléromètre,20,10.93,2023-04-12
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques analogiques,Résistance,22,22.06,2023-04-12
Blondel Excel Électricité ++,85 boulevard de Gay,00378 Saint Paulboeuf,Capteur,Capteur de luminosité,37,14.2,2023-04-12
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Buzzer,25,31.83,2023-04-12
Menard Top Dépanneur 2000,637 rue Grenier,98112 Mary-sur-Lacroix,Composants servant d'interface humaine,Interrupteur,29,9.77,2023-04-12
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,12,3.54,2023-04-12
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques numériques,Mémoire informatique,6,23.3,2023-04-12
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants servant d'interface humaine,Roue codeuse,37,2.31,2023-04-13
Guillet Giga Dépanneur ++,40 avenue de Bouvet,29760 Delahayenec,Composants d'électroniques numériques,Opto-coupleur,23,34.41,2023-04-13
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Microcontrôleur,47,28.06,2023-04-13
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants servant d'interface humaine,Interrupteur,38,9.21,2023-04-13
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Roue codeuse,15,2.31,2023-04-13
Bouvet Plate-forme Elec Spécialiste,66 avenue Cécile Salmon,05223 Roussel,Capteur,Capteur de champ magnétique,16,15.28,2023-04-13
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques analogiques,Régulateur de tension,1,30.19,2023-04-13
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Composants d'électroniques analogiques,Régulateur de tension,39,30.19,2023-04-13
Gosselin Top Électricité Spécialiste,887 avenue Stéphanie Devaux,89717 Valléedan,Composants d'électroniques analogiques,Condensateur,33,33.64,2023-04-13
Blondel Excel Électricité ++,85 boulevard de Gay,00378 Saint Paulboeuf,Composants servant d'interface humaine,Roue codeuse,43,2.41,2023-04-14
Marty Excel Dépanneur ++,12 rue de Rossi,93121 Sainte YvesBourg,Composants servant d'interface humaine,Haut-parleur,2,15.14,2023-04-14
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Roue codeuse,36,2.31,2023-04-14
Albert Giga Électricité Pro,500 rue Martel,72022 Berthelot,Composants servant d'interface humaine,Interrupteur,27,9.39,2023-04-14
Mace Appolo Électricité Plus,895 boulevard de Grenier,04254 Sainte Marceldan,Composants d'électroniques numériques,Microprocesseur,25,6.51,2023-04-14
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Capteur,Thermistance,44,20.86,2023-04-14
Guillet Giga Dépanneur ++,40 avenue de Bouvet,29760 Delahayenec,Composants d'électroniques analogiques,Memristor,9,25.42,2023-04-14
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Capteur,Capteur de champ magnétique,34,15.28,2023-04-14
Samson Plate-forme Elec Plus,85 chemin Bernier,61504 Riou,Composants d'électroniques analogiques,Résistance,48,23.41,2023-04-14
Lamy Plate-forme Électricité Pro,12 rue Dijoux,35047 Auger,Composants d'électroniques analogiques,Transistor,48,33.63,2023-04-15
Lamy Plate-forme Électricité Pro,12 rue Dijoux,35047 Auger,Composants d'électroniques numériques,Mémoire informatique,10,24.25,2023-04-15
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Composants d'électroniques numériques,Quartz,25,15.99,2023-04-15
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Buzzer,29,31.83,2023-04-16
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Potentiomètre,37,7.66,2023-04-16
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Capteur,Capteur optique,49,14.79,2023-04-16
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants servant d'interface humaine,Roue codeuse,5,2.36,2023-04-16
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants servant d'interface humaine,Haut-parleur,12,14.84,2023-04-16
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Interrupteur,25,8.85,2023-04-16
Gosselin Top Électricité Spécialiste,887 avenue Stéphanie Devaux,89717 Valléedan,Composants servant d'interface humaine,LED,13,3.91,2023-04-16
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques analogiques,Photocoupleur,49,10.08,2023-04-16
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Composants servant d'interface humaine,Commutateur,9,2.53,2023-04-16
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Composants d'électroniques numériques,Opto-coupleur,13,32.43,2023-04-16
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Buzzer,40,31.83,2023-04-16
Gosselin Top Électricité Spécialiste,887 avenue Stéphanie Devaux,89717 Valléedan,Composants servant d'interface humaine,Interrupteur,45,9.58,2023-04-17
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Quartz,49,15.99,2023-04-17
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants d'électroniques numériques,Quartz,15,15.99,2023-04-17
Lucas Confiance Elec ++,60 avenue Lebrun,95988 BlancVille,Composants servant d'interface humaine,Buzzer,48,31.83,2023-04-17
Lagarde Plate-forme Dépanneur Spécialiste,4 rue de Michaud,33414 VoisinBourg,Composants d'électroniques numériques,Opto-coupleur,40,34.41,2023-04-17
Blin Appolo Elec 2000,47 chemin Didier,39292 Barthelemy,Composants servant d'interface humaine,Potentiomètre,30,8.29,2023-04-17
Ferrand Excel Dépanneur 2000,3 rue Camille De Sousa,11239 Da Costa,Capteur,Thermistance,35,21.71,2023-04-18
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Mémoire informatique,34,20.69,2023-04-18
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Composants d'électroniques analogiques,Memristor,1,24.92,2023-04-18
Gosselin Plate-forme Dépanneur 2000,39 rue Noémi Leroux,85849 Charpentier-les-Bains,Capteur,Caméra,45,26.85,2023-04-18
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Commutateur,14,2.53,2023-04-18
Daniel Confiance Électricité Spécialiste,81 avenue Pauline Marchal,16957 Saint Augustin,Composants servant d'interface humaine,Potentiomètre,48,8.29,2023-04-19
Lelievre Top Elec Pièces,91 rue de Louis,45610 Meunier,Capteur,Capteur de pression,43,12.1,2023-04-19
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Quartz,45,15.99,2023-04-19
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Composants servant d'interface humaine,Haut-parleur,35,14.55,2023-04-19
Jacquot Giga Électricité Pièces,51 rue de Diaz,54288 Saint Agathe-la-Forêt,Capteur,Capteur de luminosité,22,14.2,2023-04-19
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants servant d'interface humaine,Commutateur,9,2.53,2023-04-19
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Haut-parleur,10,13.98,2023-04-19
Gosselin Giga Dépanneur Pro,22 boulevard Danielle Bonnin,45599 Saint Jacques,Composants servant d'interface humaine,Haut-parleur,8,15.14,2023-04-19
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Composants d'électroniques numériques,Opto-coupleur,43,33.08,2023-04-19
Valentin Giga Elec Plus,91 rue Rodriguez,82255 Sainte Isabelle-la-Forêt,Composants servant d'interface humaine,Commutateur,32,2.53,2023-04-20
Jacquot Giga Électricité Pièces,51 rue de Diaz,54288 Saint Agathe-la-Forêt,Capteur,Capteur de luminosité,6,14.2,2023-04-20
Gosselin Giga Dépanneur ++,51 chemin Auguste Martineau,59253 Mercier-sur-Hardy,Composants servant d'interface humaine,LED,25,3.75,2023-04-20
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Haut-parleur,22,14.26,2023-04-20
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Composants d'électroniques numériques,Quartz,20,16.64,2023-04-20
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Caméra,12,26.85,2023-04-20
Roger Appolo Elec Spécialiste,1 rue de Guyot,20249 Huetboeuf,Composants d'électroniques numériques,Mémoire informatique,46,24.73,2023-04-20
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Capteur,Thermistance,28,20.86,2023-04-21
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants servant d'interface humaine,Haut-parleur,28,14.84,2023-04-21
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Microprocesseur,5,6.38,2023-04-21
Gomez Appolo Elec Composants,4 avenue Lorraine Lamy,06801 Barbe-sur-Jacques,Composants servant d'interface humaine,Roue codeuse,40,2.46,2023-04-21
Blin Plate-forme Dépanneur ++,99 rue Adrien Raynaud,51487 Gomes-sur-Foucher,Composants d'électroniques numériques,Opto-coupleur,46,34.41,2023-04-21
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Composants d'électroniques analogiques,Résistance,16,22.95,2023-04-21
Bonnet Excel Électricité Pièces,77 rue Georges Martins,12531 Bourgeois,Composants servant d'interface humaine,Commutateur,5,2.58,2023-04-21
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Haut-parleur,12,14.26,2023-04-22
Hubert-Dupuy Appolo Électricité 2000,515 rue de Bonnin,24567 Masse,Composants d'électroniques numériques,Microprocesseur,26,6.64,2023-04-22
Ferrand Excel Dépanneur 2000,3 rue Camille De Sousa,11239 Da Costa,Composants servant d'interface humaine,LED,24,4.07,2023-04-22
Guillet Giga Dépanneur ++,40 avenue de Bouvet,29760 Delahayenec,Composants d'électroniques numériques,Microprocesseur,22,6.64,2023-04-22
Bouvet Plate-forme Elec Spécialiste,66 avenue Cécile Salmon,05223 Roussel,Composants d'électroniques analogiques,Résistance,41,23.41,2023-04-22
Gosselin Giga Dépanneur Pro,22 boulevard Danielle Bonnin,45599 Saint Jacques,Composants d'électroniques numériques,Quartz,1,17.66,2023-04-22
Gosselin Giga Dépanneur ++,51 chemin Auguste Martineau,59253 Mercier-sur-Hardy,Capteur,Capteur optique,10,14.79,2023-04-22
Menard Top Dépanneur 2000,637 rue Grenier,98112 Mary-sur-Lacroix,Capteur,Accéléromètre,40,11.15,2023-04-22
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Capteur,Capteur de luminosité,37,13.92,2023-04-23
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Composants servant d'interface humaine,Commutateur,21,2.53,2023-04-23
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Capteur,Microphone,49,11.89,2023-04-23
Samson Giga Dépanneur Pro,67 rue Aurore Albert,86954 Royer-sur-Dijoux,Composants d'électroniques numériques,Opto-coupleur,49,34.41,2023-04-23
Adam Excel Dépanneur Pièces,50 rue Gomes,76608 Hoareau,Capteur,Capteur optique,4,14.79,2023-04-23
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Composants d'électroniques numériques,Quartz,49,16.97,2023-04-23
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Opto-coupleur,37,31.17,2023-04-23
Carlier Plate-forme Elec Plus,95 rue Jean Baudry,16428 Bouvet,Capteur,Capteur de luminosité,14,14.2,2023-04-23
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Quartz,48,15.99,2023-04-23
Valentin Giga Elec Plus,91 rue Rodriguez,82255 Sainte Isabelle-la-Forêt,Composants servant d'interface humaine,LED,45,3.83,2023-04-23
Albert Excel Électricité Spécialiste,49 rue Catherine Bourgeois,70576 Étienne,Composants d'électroniques analogiques,Diode,44,24.02,2023-04-23
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Capteur,Microphone,20,11.89,2023-04-23
Bouvet Top Électricité Composants,36 avenue de Valette,39453 Vidal,Composants servant d'interface humaine,Buzzer,29,33.78,2023-04-23
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants d'électroniques numériques,Opto-coupleur,49,33.08,2023-04-23
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Thermistance,3,20.86,2023-04-23
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Transistor,39,33.63,2023-04-24
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Microcontrôleur,24,27.51,2023-04-24
Daniel Plate-forme Électricité 2000,18 rue Arthur Fouquet,83230 Lacroixnec,Composants servant d'interface humaine,Roue codeuse,43,2.46,2023-04-24
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Diode,6,24.02,2023-04-24
Blin Plate-forme Dépanneur ++,99 rue Adrien Raynaud,51487 Gomes-sur-Foucher,Composants servant d'interface humaine,Roue codeuse,17,2.51,2023-04-24
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Haut-parleur,47,14.26,2023-04-24
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Haut-parleur,37,13.98,2023-04-24
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques numériques,Quartz,28,15.99,2023-04-24
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants servant d'interface humaine,Haut-parleur,27,14.84,2023-04-24
Maury Top Électricité Spécialiste,88 avenue Arthur Lemaire,95525 Sainte Frédériquenec,Composants servant d'interface humaine,Roue codeuse,23,2.51,2023-04-24
Deschamps Plate-forme Elec Spécialiste,990 chemin Arnaud,09829 Delmas-sur-Ledoux,Composants d'électroniques analogiques,Photocoupleur,30,10.28,2023-04-25
Picard Excel Dépanneur Spécialiste,97 rue Pierre Lefort,89872 Sainte Isaac,Capteur,Capteur de champ magnétique,20,15.28,2023-04-25
Gosselin Giga Dépanneur ++,51 chemin Auguste Martineau,59253 Mercier-sur-Hardy,Composants d'électroniques analogiques,Inductance,3,12.29,2023-04-25
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants servant d'interface humaine,Commutateur,49,2.53,2023-04-25
Blin Appolo Elec 2000,47 chemin Didier,39292 Barthelemy,Composants servant d'interface humaine,Roue codeuse,24,2.41,2023-04-25
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Opto-coupleur,47,30.56,2023-04-25
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Roue codeuse,41,2.26,2023-04-25
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Quartz,46,15.99,2023-04-25
Dupuis Plate-forme Elec Spécialiste,68 boulevard Lecomte,46550 Voisin,Composants servant d'interface humaine,Roue codeuse,6,2.51,2023-04-26
Gosselin Plate-forme Dépanneur 2000,39 rue Noémi Leroux,85849 Charpentier-les-Bains,Capteur,Capteur de luminosité,37,13.92,2023-04-26
Lucas Confiance Elec ++,60 avenue Lebrun,95988 BlancVille,Composants d'électroniques numériques,Quartz,13,16.31,2023-04-26
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Capteur optique,15,14.5,2023-04-26
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Mémoire informatique,39,20.69,2023-04-26
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Capteur,Caméra,3,26.85,2023-04-27
